Price,Close,High,Low,Open,Volume
Ticker,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS
Date,,,,,
2017-07-11,281.67596435546875,285.35055053984087,264.3707189064895,266.6549014700515,28572624
2017-07-12,312.6119079589844,319.14173768100346,285.5243436769448,286.2443676486598,35549156
2017-07-13,343.2002868652344,347.07348075011004,312.88502457654107,323.7597903954873,43750394
2017-07-14,297.34259033203125,360.25727068062866,278.6221168622429,346.5024384331784,67296768
2017-07-17,296.0018615722656,304.7414083210521,279.24282242242464,292.9728325453678,23021580
2017-07-18,292.4266357421875,299.42817803070267,288.55341118305654,292.97284417597774,7099796
2017-07-19,291.45831298828125,298.6833147907226,290.0430870776192,293.9411335601077,3583984
2017-07-20,289.2982177734375,297.4170585788387,286.5671153628106,291.97967589974473,6110080
2017-07-21,289.7203369140625,295.4556463402706,288.1065035516997,289.9934411138118,2877876
2017-07-24,291.1852111816406,293.4445718590099,286.02093222662364,291.2348554703381,2979578
2017-07-25,298.9563903808594,303.8972089075138,292.4514132283709,292.9479772952132,6180740
2017-07-26,295.4555969238281,301.41436526514906,293.9659048384979,299.0805082698924,2126020
2017-07-27,288.9258117675781,297.16879407808034,288.00718029839413,296.89568988247436,1698416
2017-07-28,292.2279968261719,297.31777926876873,283.0415602224604,287.01407334838973,4663896
2017-07-31,293.2707824707031,295.4556769105007,287.08858288920896,292.97285609612675,2100158
2017-08-01,290.9369201660156,294.2142311237406,289.49687214369754,293.9659490721594,844314
2017-08-02,289.0002746582031,292.9231427432041,288.0071465665942,289.09959352893685,930916
2017-08-03,277.3310852050781,290.7383176142762,272.1668057835719,289.0003430427135,1480784
2017-08-04,275.2454833984375,278.27454269033166,269.0136098050894,278.27454269033166,1403112
2017-08-07,273.8054504394531,288.72719523280364,246.4199288437923,273.11024859261613,14704942
2017-08-08,282.22216796875,287.16298636764037,272.3902057610882,274.8233817488427,4743356
2017-08-09,273.0606384277344,280.5587449756159,268.64120536603224,280.5587449756159,2774206
2017-08-10,269.53497314453125,273.45784144993297,249.2751649990133,255.73049795715508,6399422
2017-08-11,268.8894958496094,272.0426661800989,260.7706838598473,264.17213627330045,1678474
2017-08-14,268.34326171875,275.5930857245733,266.6549315929655,270.72676342560504,1176194
2017-08-16,270.1805114746094,274.0040610607237,268.29357397861713,270.6770755687056,975976
2017-08-17,269.8825988769531,274.3516759512725,269.18739698668935,271.32264694627014,651746
2017-08-18,267.02734375,272.6136898535565,265.6617924802418,268.8398148311897,573760
2017-08-21,268.24395751953125,271.37230557529364,266.8287315198236,268.5170617380421,1074978
2017-08-22,262.9306945800781,270.2550151561993,262.0368852493115,269.534991139685,943080
2017-08-23,260.8203125,264.6686845549738,259.20647905759165,264.0728015300491,510576
2017-08-24,264.5941467285156,265.6617715785661,260.22438907066544,261.5651180916069,972048
2017-08-28,267.1266784667969,268.76533402607487,262.18585933629106,264.79282100582805,1001376
2017-08-29,270.5281066894531,277.4800038600008,263.6755283972009,263.6755283972009,1649802
2017-08-30,273.5323181152344,276.9586224751876,272.34058247845667,273.110250759934,712294
2017-08-31,272.8371276855469,276.31307609098474,271.123975624151,273.01091298267283,580208
2017-09-01,274.25238037109375,283.0415720923787,271.89370060365724,273.6068530226327,1765988
2017-09-04,276.586181640625,280.2110932199435,269.1625428761304,275.96547656512985,1182770
2017-09-05,284.605712890625,286.26919042563276,274.6744313494062,278.1255274386869,1989224
2017-09-06,281.9739074707031,287.0140451267857,279.863510080065,282.04840420763713,1157354
2017-09-07,277.43035888671875,286.02091145030215,275.5930657203432,283.6622320590019,815452
2017-09-08,275.2702941894531,280.8069959768653,273.11025249739333,278.57245754734123,831916
2017-09-11,277.3807067871094,280.5090850060765,273.6068315781446,277.45520352865384,697004
2017-09-12,275.9158630371094,278.2993647311139,273.6316499199592,278.0759048174547,468214
2017-09-13,276.8345031738281,278.07591350196185,273.63165846566915,276.53657681822375,476598
2017-09-14,275.14617919921875,280.21113951361383,274.45100758453395,277.5793556202906,359790
2017-09-15,281.67596435546875,284.034643651526,273.333694169934,274.0040435309306,1008804
2017-09-18,279.4165954589844,286.020891226069,277.57930242252183,282.54494289519664,823952
2017-09-19,274.624755859375,279.46625559489485,273.6068055663004,279.46625559489485,931266
2017-09-20,273.0606384277344,277.08279592282065,271.29781144752036,276.48691288076736,1214296
2017-09-21,274.9476013183594,278.47319498593276,271.12405094853614,273.7061908286683,986458
2017-09-22,271.09918212890625,274.0537446472994,268.6411837209029,274.0537446472994,569140
2017-09-25,274.8482360839844,276.8344925326491,262.4341332798297,272.911623923389,896016
2017-09-26,278.12554931640625,279.86352372283085,270.45365796862654,276.13929285192097,1125944
2017-09-27,277.4055480957031,279.76422758352135,273.92959937681314,278.52281732677494,838242
2017-09-28,276.6607360839844,277.9766129338056,273.1599344816361,276.0896751722601,758496
2017-09-29,282.3463439941406,286.9644145153048,273.15990785595943,277.5545184635401,792284
2017-10-03,279.3421325683594,284.7050188669374,276.85931203125216,282.64429600585913,1070914
2017-10-04,279.7145690917969,284.45675048400375,278.125557810108,281.9987822804338,332520
2017-10-05,290.8624267578125,292.97282422041724,279.0690291726686,279.0690291726686,1734874
2017-10-06,305.4117736816406,309.35946472648203,291.0859101107936,293.17148559749,3843936
2017-10-09,293.6680603027344,303.6489879300249,291.53281013967654,303.3510615531603,1247384
2017-10-10,288.4044189453125,295.4308129793537,286.0209173622009,295.35631624231047,678448
2017-10-11,288.8016662597656,291.6320876700024,286.84026232584534,289.049948307894,1128084
2017-10-12,288.67755126953125,291.06108339281155,283.116057136197,290.93694235755197,481810
2017-10-13,290.8376159667969,295.9522204260081,286.7657840537243,289.14928580766195,909564
2017-10-16,301.53851318359375,305.0889581914864,289.99339925766776,292.4762194567916,2015128
2017-10-17,300.0985412597656,302.8048220229811,297.16883086839977,300.7192464665641,542840
2017-10-18,293.8170166015625,302.40757042226284,292.0790420589058,297.93849302685993,628020
2017-10-19,298.3853759765625,299.7012526399227,293.96594342023974,293.96594342023974,204002
2017-10-23,297.193603515625,300.89301199355816,295.6045923893065,297.9384496397243,759678
2017-10-24,294.66119384765625,298.9068114863591,293.7177097911125,296.94537693167416,259344
2017-10-25,283.1656494140625,296.94530179677224,280.0621241026414,292.9727893981532,1466270
2017-10-26,288.67755126953125,292.8983464683577,284.0346886739701,285.42506220730365,338256
2017-10-27,293.86663818359375,299.92472646853855,290.98657236848277,291.88038171691466,844860
2017-10-30,291.95489501953125,297.4419227584257,283.53812670294,294.46253788939305,1627976
2017-10-31,288.8761901855469,295.6294504070889,288.0568472264622,291.9797160792463,453978
