Price,Close,High,Low,Open,Volume
Ticker,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS
Date,,,,,
2016-01-07,1287.1259765625,1308.2246331221068,1271.6186980806222,1306.1059904454935,298800
2016-01-08,1267.7962646484375,1296.4956242191063,1258.8849773672985,1287.3223061232163,333412
2016-01-11,1275.22216796875,1279.459345564645,1241.0842590316795,1262.4669100592632,264812
2016-01-12,1282.7794189453125,1304.9700277352447,1267.2284174240879,1275.5280864799506,357368
2016-01-13,1269.0631103515625,1293.6344999829305,1252.1798781790717,1284.3519750110804,509212
2016-01-14,1265.743408203125,1273.3441160139764,1241.062810414175,1262.4016349569763,279524
2016-01-15,1248.9471435546875,1281.6435109560366,1245.1686530266472,1271.1159943321309,266612
2016-01-18,1207.951416015625,1253.686942736651,1199.3459903861026,1244.9504483621795,422410
2016-01-19,1193.8416748046875,1205.701420463248,1189.4952912074477,1201.2676932721884,296504
2016-01-20,1170.55908203125,1188.163138090375,1137.928299531407,1188.0976570465673,547548
2016-01-21,1144.3494873046875,1192.1163043150364,1138.0811177129115,1186.8525460772685,509584
2016-01-22,1142.689697265625,1161.9537093155718,1136.7925637784972,1157.5854622880697,544196
2016-01-25,1136.8800048828125,1157.1486282685678,1130.8299401397717,1150.0283643417367,497200
2016-01-27,1157.43212890625,1159.7691829127632,1136.1369320448575,1140.9857272196375,912516
2016-01-28,1166.43115234375,1178.531175175049,1154.7679542113908,1166.321946169015,700714
2016-01-29,1174.8182373046875,1178.116285313336,1169.3797907985913,1172.8743886044892,389020
2016-02-01,1223.3275146484375,1229.6614724996791,1179.0990158595948,1183.7948811631015,696656
2016-02-02,1219.9859619140625,1256.089482363499,1210.485024254036,1224.5507589087433,642304
2016-02-03,1235.362060546875,1247.0471207647174,1191.0243554212298,1214.3726132935326,500410
2016-02-04,1247.702392578125,1257.9240477408484,1229.661511418743,1244.076726295055,762508
2016-02-05,1250.410400390625,1254.538371474816,1229.661232174536,1247.6365215599278,518808
2016-02-08,1247.1346435546875,1290.0963997662798,1242.2640903199617,1251.7213033646083,388862
2016-02-09,1215.726806640625,1262.4233221615748,1205.6361138982513,1241.4557375720399,498770
2016-02-10,1189.0367431640625,1253.6867938577734,1174.0536357617987,1240.5820538522914,687422
2016-02-11,1150.595947265625,1192.4219009295139,1140.5927070114499,1179.4263696344676,583352
2016-02-12,1124.8236083984375,1161.0363335596705,1094.2677418025373,1157.5854610702368,713848
2016-02-15,1164.531005859375,1183.7950191244565,1123.513206342473,1137.9284224425126,710510
2016-02-16,1147.05810546875,1175.0586155081135,1140.3310467598253,1159.8134738986655,315378
2016-02-17,1158.54638671875,1163.2641145584937,1111.806146291503,1155.4012703744709,254606
2016-02-18,1202.796875,1208.9779021729137,1165.6230484072516,1165.6230484072516,390156
2016-02-19,1190.1287841796875,1206.9465335615623,1181.85097821586,1206.9465335615623,254268
2016-02-22,1222.8253173828125,1223.546035509079,1183.3581614402337,1183.3581614402337,704004
2016-02-23,1224.0921630859375,1230.9721529400204,1212.1886885764927,1220.9689087632275,331174
2016-02-24,1202.753173828125,1226.560121710209,1195.4146036515285,1224.4197231831456,419472
2016-02-25,1173.2891845703125,1211.6205488241867,1167.304708004735,1203.4519489393,442200
2016-02-26,1184.8651123046875,1192.749819310102,1168.112949385321,1176.36889339026,431106
2016-02-29,1203.9981689453125,1235.340343501984,1153.217293792517,1189.0369218572846,364926
2016-03-01,1241.3245849609375,1242.7661276333909,1203.8887338339632,1203.8887338339632,329542
2016-03-02,1250.5635986328125,1273.1255510720662,1242.460479354473,1245.387183429906,320220
2016-03-03,1241.3900146484375,1263.6462063750012,1237.0872497405117,1257.1811810569184,258812
2016-03-04,1247.2220458984375,1256.722984523474,1241.4559803380944,1251.0661251542233,172662
2016-03-08,1231.4305419921875,1260.173625083321,1201.2677787988373,1244.9502434824315,382152
2016-03-09,1239.6212158203125,1247.571404421115,1216.5568491991614,1227.4556046696566,307366
2016-03-10,1238.244873046875,1248.4447706370815,1223.1089425415776,1236.2136812116657,294114
2016-03-11,1230.1419677734375,1243.3995322174069,1227.0404700285553,1240.8877904222256,143186
2016-03-14,1233.177978515625,1249.3186296922836,1229.6615183859365,1237.0875382127788,224718
2016-03-15,1205.0902099609375,1232.6538927640643,1201.6829557769806,1223.2184360464396,153938
2016-03-16,1188.29443359375,1203.8890564278681,1168.1349066325447,1196.943585299453,479506
2016-03-17,1178.37841796875,1196.9434687363503,1174.1848579602276,1196.8997436052916,268306
2016-03-18,1173.2237548828125,1185.9790142965614,1166.4311097331097,1178.9898193688468,241694
2016-03-21,1194.693603515625,1200.8310114257226,1175.4951807008438,1175.4951807008438,198826
2016-03-22,1201.9232177734375,1214.3289971699307,1190.347362686759,1195.1524346095312,241612
