Price,Close,High,Low,Open,Volume
Ticker,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS
Date,,,,,
2016-01-07,875.188720703125,886.1108374407426,870.6969363451133,883.3211914012717,1976106
2016-01-08,895.5671997070312,897.1275267890196,881.3353475375548,883.746714895637,744102
2016-01-11,885.8270874023438,890.9808300654468,877.552748448759,888.8531429059535,1193326
2016-01-12,863.6046142578125,890.6025898340644,855.8976351280033,888.9004515766151,4267340
2016-01-13,885.4961547851562,893.3922153160433,864.1246842552355,864.1719546496246,3876447
2016-01-14,867.150634765625,879.3493963350321,863.3680801973998,870.9331893338501,1625707
2016-01-15,871.4534301757812,881.4299080362103,865.8268677363164,869.7985622651864,1139012
2016-01-18,850.2237548828125,879.3967441904421,845.3537500775413,866.7251621837572,1123421
2016-01-19,847.7178955078125,856.275914919669,839.7272362768261,848.4743949880432,1086798
2016-01-20,826.1572875976562,907.8131676647887,819.6796277605574,836.3701741904438,1179428
2016-01-21,825.9208984375,847.52872055529,821.0981062341408,832.162091033367,1192113
2016-01-22,849.1836547851562,856.1814050941017,832.9186556444924,839.6327258527429,1018517
2016-01-25,857.8834228515625,861.3822975143157,850.6965342464363,855.8030062101521,666497
2016-01-27,858.8763427734375,868.0963200286437,832.2093200918616,858.4980642094187,1054242
2016-01-28,857.836181640625,867.8126585199826,851.0748417553526,857.6943127467831,1679264
2016-01-29,878.3092041015625,884.1721755254935,851.0748213614376,857.2214728490479,1369077
2016-02-01,876.7017211914062,888.5222063639643,873.770263955497,878.262048321069,916513
2016-02-02,858.8763427734375,881.335261728427,854.668239046851,876.6070682642186,688338
2016-02-03,856.4177856445312,865.448624465386,842.564154407181,846.3467095335881,773012
2016-02-04,863.5572509765625,868.3327147497415,854.4318146608923,862.4224730212516,812359
2016-02-05,862.28076171875,867.5291035065717,859.5857140849077,864.2666379327735,1654488
2016-02-08,834.9517211914062,861.1459253360692,830.790887727434,861.0985972262002,1754784
2016-02-09,821.1455078125,830.7437656418628,812.7293563139601,825.542751741999,2083698
2016-02-10,789.702880859375,819.868779453246,782.7524592761526,818.9231407226195,2329955
2016-02-11,767.0548095703125,787.9061301380225,755.5652769527976,784.8800749321928,5158251
2016-02-12,767.8114013671875,786.6295780275725,756.5110066617359,770.6955880366435,3788481
2016-02-15,778.9227294921875,786.7715203755681,772.8233473881406,780.1520484493313,2167942
2016-02-16,789.4192504882812,793.3436745543604,774.9509885421627,786.7242030231887,2242516
2016-02-17,786.3458862304688,789.9866300261231,769.182577652813,784.8801577203363,1141968
2016-02-18,801.6179809570312,804.1238890174526,788.2844399344308,791.7833148574057,1064050
2016-02-19,795.7550659179688,802.5636769558967,789.7029543915411,797.2680649409691,1035996
2016-02-22,798.6863403320312,808.9465537962313,794.525565112667,799.0646188597916,613082
2016-02-23,794.0054931640625,799.5847264113759,785.5892863295647,796.2277208420023,1908481
2016-02-24,777.220458984375,792.4452187396266,774.3835429268346,790.2229909147686,1034245
2016-02-25,763.8397216796875,779.1590814016638,761.0028053503294,777.3150742441388,1480299
2016-02-26,771.9722290039062,777.7879308442164,768.9935013458946,770.6956396815032,1045114
2016-02-29,784.8801879882812,793.8164860094213,758.4023021284356,773.0597032294216,3045853
2016-03-01,814.0057983398438,820.43613009009,788.6626921963986,791.4996083553784,1330369
2016-03-02,834.6207275390625,847.7651290915029,823.6513412590061,827.3393554261536,2349698
2016-03-03,847.055908203125,849.2781361732076,836.181062605206,836.8902916659399,1973901
2016-03-04,866.1105346679688,871.2169491724164,833.0604495578071,849.9400777775322,1327247
2016-03-08,870.98046875,877.1271199870744,854.8573412792684,866.2050051015597,1879422
2016-03-09,883.652099609375,886.4890157249487,862.6589088106888,863.3681378395822,1631962
2016-03-10,876.8434448242188,884.4085540812624,869.0419259028924,883.2265057598494,1128913
2016-03-11,876.3234252929688,882.4228066634141,868.1436271667704,870.9805433653769,1436095
2016-03-14,871.0277709960938,881.3352557652083,868.1908549367637,878.4983397058783,1238350
2016-03-15,868.4747314453125,881.2881261499714,866.9616746749867,871.7844673765564,1027959
2016-03-16,865.8741455078125,876.607122245619,859.869304808167,871.6897891965924,1558572
2016-03-17,862.9426879882812,877.552819204909,852.3515217302967,876.1343609842114,2374275
2016-03-18,878.4984130859375,883.9358359871691,854.1482148760743,861.9970050857145,1678210
2016-03-21,881.5244140625,885.5906489584837,872.6353871312932,879.4439973640042,1120071
2016-03-22,877.552734375,886.0634828764817,872.5408606897911,881.713567840385,1462833
2016-03-23,877.60009765625,883.6994796046687,874.7159107911381,878.4984660810456,1426779
2016-03-28,865.0703125,887.9547816755485,862.0915850831707,876.607116734008,4743485
2016-03-29,877.60009765625,879.916924314761,863.1791056134772,868.0018982384373,1120607
2016-03-30,895.2362060546875,897.2220243203695,884.6450406308974,887.9547762185063,1817471
2016-03-31,915.0,917.2695560089668,885.6851997564145,894.7633660750747,2973760
2016-04-01,909.0425415039062,916.3239716039535,899.0660639860256,914.1017435729126,933728
2016-04-04,909.0425415039062,917.2696103775386,904.0306675473473,909.0425415039062,1501960
2016-04-05,899.5861206054688,911.5957441307154,894.952525416042,907.6240498846296,1278350
2016-04-06,903.4632568359375,906.9620739287319,895.5671388878358,899.49156266559,1055612
2016-04-07,888.5221557617188,906.8203003970683,886.5363374527085,903.0850157518257,865013
2016-04-08,886.0634765625,895.3307244324125,884.1721991312033,888.900392709445,1035958
2016-04-11,908.5697631835938,909.7045413066288,885.5907514902888,887.9548485311064,921823
2016-04-12,916.2767944335938,918.0262032558323,905.4964882310173,908.7589538752615,1045525
2016-04-13,932.778076171875,940.390456485017,921.0521327096329,921.9977714495811,2933470
2016-04-18,934.5747680664062,939.6339700253897,924.0782009947658,932.7780890659933,1475787
2016-04-20,930.3666381835938,935.1894303201228,920.6265708419553,934.2910619863098,1424974
2016-04-21,919.25537109375,939.7757427377156,912.0685399518776,939.019243309709,3279337
2016-04-22,928.1444091796875,935.2366996217127,918.0260632722902,921.7140773890262,1648861
2016-04-25,928.9482421875,933.3454856474958,921.1940502839545,928.9955703007648,904348
2016-04-26,965.8754272460938,969.279703606022,921.9977668447526,928.6172379913304,3199405
2016-04-27,983.4644165039062,985.3556942279522,964.5516392634465,966.3483761881764,3437073
2016-04-28,978.7361450195312,991.5968094420822,973.0623122947803,983.1806011468171,1892339
2016-04-29,991.8331909179688,996.2304342414188,971.3128759877602,975.9937416787245,922119
2016-05-02,988.23974609375,997.6488047610982,983.8425031564993,986.3011406311141,1190614
2016-05-03,981.3838500976562,999.7764759091698,976.4192471196254,988.1924022937644,993373
2016-05-04,985.3555297851562,990.036395197223,973.1567674139854,980.6273362641143,1490442
2016-05-05,981.1474609375,987.5305220426566,970.461697654363,985.3555068997283,1012279
2016-05-06,985.5445556640625,987.5304891782147,969.5160267071865,981.4310506200719,858079
2016-05-09,997.5543823242188,1001.6205598592052,982.4241616892796,985.3556188504145,2193370
2016-05-10,997.3650512695312,997.6487890420739,990.3200894069306,997.6487890420739,1037333
2016-05-11,996.4668579101562,1002.1880186655202,979.7763104653939,979.7763104653939,1502284
2016-05-12,1008.1453247070312,1013.1572556414228,989.3744209074013,995.2846623704083,1085566
2016-05-13,1007.2943725585938,1010.8878460616737,997.6489032694722,1002.3770971238298,1078609
2016-05-16,1022.0464477539062,1026.018084487832,1000.5331653372259,1005.2140311618116,806795
2016-05-17,1025.4979248046875,1040.0135723687113,1018.452962094884,1024.1267947527942,1890354
2016-05-18,1024.1265869140625,1026.963502667287,1008.3816813967867,1021.2896711608379,692837
2016-05-19,1013.8192749023438,1022.3300236029341,1007.0579347922135,1019.3985665818365,778327
2016-05-20,1012.2588500976562,1017.8854693445812,1001.4313336927763,1010.8877202243417,687097
2016-05-23,998.8782958984375,1021.2425608414312,993.2044631820236,1014.0557291541913,1038361
2016-05-24,986.9158325195312,998.9727257023668,982.660458455001,998.9727257023668,1287874
2016-05-25,1036.5618896484375,1039.1623960873776,997.8852435242266,997.8852435242266,1011656
2016-05-26,1043.890625,1048.713359472458,1028.8549459928172,1035.5217452633203,1356124
2016-05-27,1044.079833984375,1051.4085350914327,1039.3989678381556,1041.384786341569,1377065
2016-05-30,1040.4864501953125,1053.0161646852566,1037.271255088366,1046.065626941406,927569
2016-05-31,1042.897705078125,1046.8694572134145,1035.4744637445574,1041.242837213693,1043245
2016-06-01,1043.748779296875,1047.578662441109,1036.9402264120354,1043.0395502282702,692901
2016-06-02,1060.817626953125,1063.7490840769879,1039.3988855522343,1044.930849314663,1139626
2016-06-03,1062.8505859375,1070.935843112245,1058.264261263593,1068.571746328333,771905
2016-06-06,1060.7701416015625,1068.5716603608341,1054.9072282229017,1063.7961390677608,453741
2016-06-07,1049.5645751953125,1067.5789258983143,1044.410774239015,1065.262156906156,886165
2016-06-08,1053.063232421875,1058.737064617504,1033.7721798698537,1052.4958722891943,644739
2016-06-09,1061.0067138671875,1063.843630214426,1043.370527488304,1054.2453734860514,862716
2016-06-10,1049.5645751953125,1065.0257471953469,1047.9097072196482,1053.536212163135,1033099
2016-06-13,1048.193115234375,1059.020747035614,1040.2025148170428,1040.2025148170428,986935
2016-06-14,1056.0421142578125,1059.0208995205753,1039.7771733124998,1043.3705314386204,615029
2016-06-15,1062.472412109375,1064.4109021920308,1049.65896149573,1058.217037941149,894254
2016-06-16,1040.4390869140625,1058.0752735737237,1027.2001437495119,1058.0752735737237,938648
2016-06-17,1039.446044921875,1047.483974119758,1026.4908405061121,1046.8220731831102,1499517
