Price,Close,High,Low,Open,Volume
Ticker,PFC.NS,PFC.NS,PFC.NS,PFC.NS,PFC.NS
Date,,,,,
2016-01-07,42.580013275146484,44.79489614033204,42.2861997315532,44.52368828092261,5233037
2016-01-08,42.975521087646484,43.38233713598545,42.62521062106511,43.065926569842105,3813712
2016-01-11,42.625213623046875,43.201533524935336,41.70987744981949,42.24099891819758,4658500
2016-01-12,42.365299224853516,43.35973361506361,42.04888436363172,42.82861652120176,2301492
2016-01-13,41.506465911865234,42.907720691047956,40.68153529675136,42.68171129946744,4009242
2016-01-14,40.78322219848633,41.25783784200624,40.10519861895252,40.681518230479384,4887075
2016-01-15,38.579654693603516,41.178751880121105,38.444050785036396,40.997945231774764,5315602
2016-01-18,36.387367248535156,38.64745211725449,36.17265642711416,38.64745211725449,7671052
2016-01-19,35.912757873535156,37.155805277782655,35.48334043942409,36.92979587505206,10575460
2016-01-20,34.861820220947266,35.573746224526346,34.16119274843761,35.573746224526346,7448837
2016-01-21,33.68657684326172,35.59634986827393,33.49446947204291,35.41554318423102,13090277
2016-01-22,35.991859436035156,36.22916951730779,34.10468809273089,34.46630140192219,8028052
2016-01-25,36.65858840942383,37.17841139529559,36.13876973432342,36.34217779167077,4519385
2016-01-27,37.754722595214844,38.20674135355646,36.48907610693683,37.06539592859054,8540755
2016-01-28,37.754722595214844,38.54575326692749,37.336608045749585,37.76602112432672,23609945
2016-01-29,39.574092864990234,39.86790204793145,37.12189815067388,37.94683305248483,9505815
2016-02-01,39.201171875,40.184311931230084,38.82826010014406,39.77749595082728,3243702
2016-02-02,38.229347229003906,39.70970043107367,38.1050418402684,39.31418720397966,8330817
2016-02-03,37.35920715332031,38.68135482866635,36.43257263450427,37.494811048306296,12742905
2016-02-04,38.09373092651367,38.783057528318444,36.61337803814928,38.02593113667711,4383927
2016-02-05,40.01482009887695,40.27472945626384,37.9242423964158,38.19545028639704,3327205
2016-02-08,40.80584716796875,42.08279676934686,39.77750836794866,40.16172310151503,5200072
2016-02-09,38.771759033203125,41.07704241577356,38.444045679481505,40.22951055593695,25316862
2016-02-10,35.72064971923828,39.32548430795408,35.18952828145973,38.828267081818666,9830670
2016-02-11,33.99168395996094,36.13876463552399,33.55096800147918,36.04836130672298,9740312
2016-02-12,33.031150817871094,34.54540835564985,31.867208103057926,33.9012842988337,10574062
2016-02-15,34.80531692504883,35.34773910008528,33.58487080314155,33.58487080314155,5054915
2016-02-16,33.5015754699707,35.95773527204443,33.31532644858872,35.119614675825495,6583610
2016-02-17,35.189449310302734,35.36405744965983,32.65180420950652,33.08250635883279,12116527
2016-02-18,34.06031799316406,36.17890199413019,33.31532200695967,35.53867134601869,10424177
2016-02-19,35.63180160522461,35.82969147358777,33.54813756656165,33.88571531505439,7416042
2016-02-22,35.049766540527344,35.922809528655286,34.572503217971786,35.63179519927931,3714055
2016-02-23,35.25929641723633,35.771480026790336,34.71218806938747,35.131249404716286,8223307
2016-02-24,35.049766540527344,35.57359100124623,34.537580699151945,35.03812570092073,4943427
2016-02-25,36.48155975341797,36.7376515867548,35.02648797710189,35.22437782749141,13242535
2016-02-26,36.2254753112793,37.017032654077994,35.503758586056506,36.97047150227279,5928032
2016-02-29,35.911163330078125,36.83076731913823,35.17780608614113,36.365144905673446,5735130
2016-03-01,36.4233512878418,36.71436559131028,35.585228672884284,36.03921027581098,5289360
2016-03-02,37.97154998779297,38.64670539067612,36.923898803763876,37.13342948462234,4282625
2016-03-03,37.843502044677734,38.856235124314495,37.2963981162412,38.32076537488162,2860285
2016-03-04,39.12397003173828,39.950449722277604,37.62233491589534,37.878428965565895,5919425
2016-03-08,38.297481536865234,39.41497532129802,37.83185690642212,39.112317979352326,3271972
2016-03-09,39.484825134277344,39.764200865932615,37.82022712669643,38.18108208111484,3790722
2016-03-10,38.92607879638672,40.253107994439695,38.4953787913448,39.83404660984682,3380302
2016-03-11,38.891151428222656,39.57794536362423,38.25092084721038,39.31021273667458,3503637
2016-03-14,39.83403778076172,40.11340901488411,39.112319138139846,39.508098753584655,3571565
2016-03-15,39.35677719116211,40.637238388978034,39.17052820892477,40.02028946791549,6066692
2016-03-16,39.0424919128418,39.85733309888942,38.18108735832809,39.38006967343009,4030700
2016-03-17,39.54302978515625,40.07849510293084,38.91443774749404,39.531386724907094,5853347
2016-03-18,39.50810241699219,39.903882069135854,39.01920049168149,39.86896177176398,3622307
2016-03-21,40.450992584228516,40.59067822174754,39.56631095923957,39.78748025535522,3909787
2016-03-22,39.84568405151367,40.567398392224476,39.49646772152628,40.06685335771615,3207825
2016-03-23,40.10177230834961,40.497551942658106,39.74091296983936,39.88059859355826,2711952
2016-03-28,39.18217086791992,40.48591387801891,39.042485226969504,40.48591387801891,2723472
2016-03-29,38.57686233520508,39.32185837635754,38.4255336266814,38.99592371848501,3011547
2016-03-30,40.02027893066406,40.15996452043165,38.96098729049976,39.11231149586263,3301077
2016-03-31,39.892250061035156,40.35787038508405,39.17053567241691,39.97373372875688,6166762
2016-04-01,39.228729248046875,39.8107578587285,38.66998231465562,39.8107578587285,4208287
2016-04-04,39.12397003173828,39.7874823963151,38.565223011069726,39.7874823963151,3396537
2016-04-05,38.56521987915039,39.51974651700694,38.18107883584102,38.8795158853509,3029012
2016-04-06,39.03083801269531,39.57794633893717,38.344044060369185,38.55357471975858,3362417
2016-04-07,39.403343200683594,39.868967960373126,38.64670851684661,38.96100456355802,3866852
2016-04-08,39.12397003173828,39.694355672607045,38.972641325975985,39.484824984790514,1722285
2016-04-11,39.20545196533203,39.43826432380602,38.681625268897164,39.34513760420586,2368687
2016-04-12,38.9493522644043,39.671070914801035,38.8329483223536,39.345131884112725,3684812
2016-04-13,39.950435638427734,40.299651848169496,39.25200321894422,39.34512546929701,4829007
2016-04-18,39.18217086791992,40.159979235625784,38.99592186647721,40.04357527492151,2474060
2016-04-20,39.0424919128418,39.48483059168795,38.78639782680555,39.46155334798213,3441130
2016-04-21,40.788570404052734,41.58012975330347,39.21709032516099,39.286935364398296,11182252
2016-04-22,41.009727478027344,41.64995793837506,40.46261926838154,40.80019686329172,8807280
2016-04-25,40.39278793334961,41.39387789048825,40.276379542678804,41.09122051527021,3275420
2016-04-26,42.3716926574707,42.534659988837426,39.86896738140536,40.43935748171563,10112080
2016-04-27,41.74309539794922,42.79074430136129,41.521921669492144,42.48809135784923,6456662
2016-04-28,42.13888168334961,42.60450201124612,41.417167288767544,41.975914346559485,6028180
2016-04-29,41.754730224609375,42.557932528851154,40.74200171113691,42.3716835557927,4868097
2016-05-02,41.44043731689453,42.23199662110604,41.06793934320984,41.06793934320984,2019157
2016-05-03,40.8584098815918,42.11559391020754,40.416071300139215,41.73145286573287,3620337
2016-05-04,40.264747619628906,41.32403972799301,40.10178028611548,40.74201099942972,3854437
2016-05-05,39.228729248046875,40.613955742879824,38.972635238378665,40.50919041533609,5246560
2016-05-06,38.611778259277344,39.34513559687128,38.43717232972481,39.34513559687128,2542710
2016-05-09,39.915531158447266,40.10178017344315,38.66999003806353,38.844595991825855,3604445
2016-05-10,39.44990158081055,40.14833863210702,39.29857288695071,39.92716490095966,2603065
2016-05-11,38.029754638671875,39.298577432743386,37.94827097267408,38.856238800334424,7601822
2016-05-12,38.355690002441406,38.60014097659401,37.762018276040706,38.250924664872244,3987115
2016-05-13,40.62560272216797,40.87005369651761,38.390610332399774,38.5302959690958,10605247
2016-05-16,40.47427749633789,41.033024531564074,39.70599976783606,40.83513689931857,6244600
2016-05-17,39.67107391357422,40.6838024956508,39.58958581934807,40.60231884195073,3656362
2016-05-18,40.73036193847656,40.9748128760878,39.15888210984933,39.57794339748326,3198647
2016-05-19,39.39169692993164,40.98645409529199,39.205447950331354,40.97481547679707,2999345
2016-05-20,39.089046478271484,39.84568106307524,38.902793046352286,39.57794841548072,2764752
2016-05-23,39.05411911010742,39.77583334809822,38.83294983538348,39.46154180421059,2350682
2016-05-24,39.64780044555664,39.95045344475504,39.030846944821164,39.298579639638554,4927510
2016-05-25,39.35677719116211,40.04357114576091,38.46045257648056,39.92716275653382,8067520
2016-05-26,38.961002349853516,39.275298378707106,38.355691972860654,39.11232661370681,5110277
2016-05-27,38.71654510498047,39.5779494888638,38.46045551019867,38.99592081990992,3724117
2016-05-30,39.286930084228516,39.78747503017334,38.60013616587579,38.774746520238224,4463605
2016-05-31,38.11123275756836,39.42661412997524,37.92498379259324,39.28692851637529,13037190
2016-06-01,38.27421188354492,38.902799559404606,38.1345217862188,38.27421188354492,6022717
2016-06-02,38.66998291015625,38.821307154085154,37.8784236321975,38.29748494882578,4679195
2016-06-03,38.62342071533203,39.32185330368018,38.33240639676595,38.80966970159327,4367425
2016-06-06,38.262569427490234,38.716551149668724,38.15780407310081,38.64671054042714,2497090
2016-06-07,38.25092315673828,38.5652191570539,38.076312787498665,38.41389046641465,2778955
2016-06-08,38.25092315673828,38.41389046641465,38.13451476373649,38.33240681157647,2541800
2016-06-09,38.32075881958008,38.87951015301706,37.994824242179824,38.390603846391095,4392872
2016-06-10,38.08795166015625,38.693261915647014,37.94826160390985,38.437167919720935,2521782
2016-06-13,37.27312088012695,37.901712982315686,37.01702681467372,37.575773869776974,3449835
2016-06-14,37.69217300415039,37.8318586234127,37.2731117058377,37.2731117058377,3021317
2016-06-15,38.064674377441406,38.25092336674066,37.540847707372826,37.878425388142155,3393857
2016-06-16,37.89007568359375,38.157808410684076,37.26148348580208,37.94827767808685,4349467
2016-06-17,38.00647735595703,38.22764667192029,37.79694666061215,38.15780162662974,3747447
2016-06-20,38.332401275634766,38.51865023701353,37.54084207964365,37.99482364547154,3609207
2016-06-21,38.87952423095703,39.391707958118396,38.33241575748143,38.5070261674711,5852527
2016-06-22,38.728187561035156,39.57794887159147,38.553577186861745,39.06576524948974,5774980
2016-06-23,38.832950592041016,38.937715922220214,38.37896897477316,38.86787088859207,2185470
2016-06-24,37.8085823059082,38.006474365061706,36.43499427364176,37.94826794497006,4348745
