Price,Close,High,Low,Open,Volume
Ticker,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS
Date,,,,,
2016-01-07,10527.37109375,10868.248896932493,10480.721759628424,10808.751284809348,2766
2016-01-08,10694.1650390625,10841.254907475459,10548.512537027487,10703.034572829203,4118
2016-01-11,10463.22265625,10811.244226409326,10365.562257020065,10514.953808142322,5323
2016-01-12,10160.265625,10691.383234876188,9992.46364597728,10619.420344865724,11068
2016-01-13,10106.62109375,10355.735014225202,9991.412635871353,10355.735014225202,2909
2016-01-14,9773.5068359375,10093.76891272768,9674.93534209665,10093.76891272768,23409
2016-01-15,9398.2529296875,9876.344330180817,9013.31503062686,9828.400911102268,10273
2016-01-18,9304.572265625,9516.769673174567,9205.13741687414,9360.953545024355,11279
2016-01-19,9438.1416015625,9683.564154270714,9311.570973562271,9492.797100017144,12738
2016-01-20,9316.8447265625,9444.80590069475,9253.032222383372,9416.087605088638,10403
2016-01-21,9133.5126953125,9378.647875959094,9037.146381946994,9371.935794431149,36385
2016-01-22,9514.9970703125,9646.217860184508,9061.308029696182,9248.191889438112,24316
2016-01-25,9603.1171875,9847.533178438527,9407.699945911481,9492.799537726962,12714
2016-01-27,9555.265625,9698.951647313088,9425.674215826757,9594.435015621824,21533
2016-01-28,9700.5361328125,9970.31337590316,9302.845473776548,9555.12336900125,16836
2016-01-29,10115.82421875,10353.863353545108,9689.367400219791,10065.243899070476,14335
2016-02-01,10241.7685546875,10381.812029001781,10095.972806557973,10259.843785267942,16509
2016-02-02,9983.30859375,10488.057420011572,9781.46674518695,10322.173145420562,22975
2016-02-03,9748.7685546875,9869.249823228794,9396.911561540404,9781.41784074221,13185
2016-02-04,10106.376953125,10355.778237793918,9868.960586503094,9868.960586503094,11802
2016-02-05,9956.939453125,10221.491678530023,9876.346733322882,10154.370875488023,4801
2016-02-08,9879.4140625,10115.967107436529,9780.458646561669,10048.941825094733,1980
2016-02-09,9880.8525390625,9971.273652430109,9681.695361918148,9876.297913632261,1529
2016-02-10,9912.1005859375,10127.857551307778,9628.664572475545,9891.700872860221,4134
2016-02-11,9926.693359375,10246.89669372433,9839.862386235185,9903.365873117693,6613
2016-02-12,10071.74609375,10152.48152022814,9648.824232150371,9926.260328368804,8681
2016-02-15,10078.9931640625,10318.894148196116,9909.172126887985,10090.417377587624,11807
2016-02-16,9813.2685546875,10205.087369477797,9715.062135811957,10031.857640240609,9957
2016-02-17,9671.240234375,9885.653795234537,9599.865608570031,9860.981953123137,15627
2016-02-18,10458.0927734375,10735.048874514856,9761.094773110894,9761.14258493781,18292
2016-02-19,10227.59765625,10727.798293183003,10195.005936290529,10369.771241716237,4658
2016-02-22,10368.859375,10463.082401131243,10226.73359713027,10229.613555901638,9947
2016-02-23,10072.849609375,10377.500922128254,9989.762972941087,10329.453789720812,2530
2016-02-24,10076.78515625,10118.832373490874,9988.658591350804,10022.258115684997,7181
2016-02-25,10076.73828125,10174.849088924442,9840.869410998153,10071.218358881915,5215
2016-02-26,9925.634765625,10191.215371645076,9887.859676709144,10191.215371645076,3020
2016-02-29,9603.4169921875,9983.90726070857,9504.201826422157,9859.061205770638,15874
2016-03-01,9990.099609375,10070.258482904315,9676.08839716687,9676.08839716687,17321
2016-03-02,10381.5341796875,10636.650596290774,9903.220898134985,9903.220898134985,8498
2016-03-03,10741.287109375,10895.844909411588,10142.303447760722,10644.952855589094,15025
2016-03-04,10613.46484375,10846.885902630378,10415.85202615626,10797.926598175634,8477
2016-03-08,10902.615234375,11135.844157921252,10416.814220483062,10799.704487073386,32870
